home_team_ru;home_slug;away_team_ru;away_slug;distance_km
Трактор;traktor;ЦСКА;cska;1494.7
Трактор;traktor;Драконы;kunlun;1905.8
ЦСКА;cska;Авангард;avangard;2234.3
ЦСКА;cska;Автомобилист;avtomobilist;1414.0
ЦСКА;cska;Адмирал;admiral;6410.7
ЦСКА;cska;Ак Барс;ak_bars;715.9
ЦСКА;cska;Амур;amur;6141.3
ЦСКА;cska;Барыс;barys;2271.1
ЦСКА;cska;Динамо М;dynamo_msk;10.8
ЦСКА;cska;Динамо Мн;dinamo_mn;679.6
ЦСКА;cska;Лада;lada;791.1
ЦСКА;cska;Локомотив;lokomotiv;254.9
ЦСКА;cska;Металлург Мг;metallurg_mg;1394.4
ЦСКА;cska;Нефтехимик;neftekhimik;886.2
ЦСКА;cska;Северсталь;severstal;380.6
ЦСКА;cska;Сибирь;sibir;2811.0
ЦСКА;cska;СКА;ska;628.3
ЦСКА;cska;ХК Сочи;hc_sochi;1378.2
ЦСКА;cska;Спартак;spartak;17.8
ЦСКА;cska;Салават Юлаев;salavat_yulaev;1162.6
ЦСКА;cska;Торпедо;torpedo;400.5
ЦСКА;cska;Трактор;traktor;1494.7
ЦСКА;cska;Драконы;kunlun;628.3
Драконы;kunlun;Авангард;avangard;2579.1
Драконы;kunlun;Автомобилист;avtomobilist;1775.2
Драконы;kunlun;Адмирал;admiral;6530.6
Драконы;kunlun;Ак Барс;ak_bars;1188.2
Драконы;kunlun;Амур;amur;6196.6
Драконы;kunlun;Барыс;barys;2707.7
Драконы;kunlun;Динамо М;dynamo_msk;617.5
Драконы;kunlun;Динамо Мн;dinamo_mn;681.6
Драконы;kunlun;Лада;lada;1345.7
Драконы;kunlun;Локомотив;lokomotiv;598.5
Драконы;kunlun;Металлург Мг;metallurg_mg;1870.2
Драконы;kunlun;Нефтехимик;neftekhimik;1345.7
Драконы;kunlun;Северсталь;severstal;431.1
Драконы;kunlun;Сибирь;sibir;3101.9
Драконы;kunlun;СКА;ska;0.0
Драконы;kunlun;ХК Сочи;hc_sochi;1938.7
Драконы;kunlun;Спартак;spartak;610.6
Драконы;kunlun;Салават Юлаев;salavat_yulaev;1623.9
Драконы;kunlun;Торпедо;torpedo;887.6
Драконы;kunlun;Трактор;traktor;1905.8
Драконы;kunlun;ЦСКА;cska;628.3
