uid,home,away,start_msk,start_utc,text_url,source
897575,"Трактор","Авангард","2025-09-25T13:34:00+03:00","2025-09-25T10:34:00+00:00","https://text.khl.ru/text/897575.html","text"
897576,"Амур","ЦСКА","2025-09-25T16:56:00+03:00","2025-09-25T13:56:00+00:00","https://text.khl.ru/text/897576.html","text"
897577,"Лада","Драконы","2025-09-26T02:08:00+03:00","2025-09-25T23:08:00+00:00","https://text.khl.ru/text/897577.html","text"
897579,"Динамо Мн","Северсталь","2025-09-26T11:03:00+03:00","2025-09-26T08:03:00+00:00","https://text.khl.ru/text/897579.html","text"
897578,"Локомотив","Автомобилист","2025-09-26T21:55:00+03:00","2025-09-26T18:55:00+00:00","https://text.khl.ru/text/897578.html","text"
897583,"Торпедо","Нефтехимик","2025-09-27T09:28:00+03:00","2025-09-27T06:28:00+00:00","https://text.khl.ru/text/897583.html","text"
897548,"ХК Сочи","СКА","2025-09-27T17:00:00+03:00","2025-09-27T14:00:00+00:00","https://text.khl.ru/text/897548.html","text"
897581,"Металлург Мг","Ак Барс","2025-09-27T18:53:00+03:00","2025-09-27T15:53:00+00:00","https://text.khl.ru/text/897581.html","text"
897582,"Салават Юлаев","Авангард","2025-09-27T18:59:00+03:00","2025-09-27T15:59:00+00:00","https://text.khl.ru/text/897582.html","text"
897580,"Барыс","Сибирь","2025-09-27T22:40:00+03:00","2025-09-27T19:40:00+00:00","https://text.khl.ru/text/897580.html","text"
897584,"Спартак","Драконы","2025-09-28T06:18:00+03:00","2025-09-28T03:18:00+00:00","https://text.khl.ru/text/897584.html","text"
897589,"СКА","Торпедо","2025-09-29T13:34:00+03:00","2025-09-29T10:34:00+00:00","https://text.khl.ru/text/897589.html","text"
897588,"Металлург Мг","Сибирь","2025-09-29T17:20:00+03:00","2025-09-29T14:20:00+00:00","https://text.khl.ru/text/897588.html","text"
897587,"Барыс","Адмирал","2025-09-29T17:30:00+03:00","2025-09-29T14:30:00+00:00","https://text.khl.ru/text/897587.html","text"
897585,"Динамо Мн","Локомотив","2025-09-29T20:51:00+03:00","2025-09-29T17:51:00+00:00","https://text.khl.ru/text/897585.html","text"
897586,"Динамо М","Нефтехимик","2025-09-29T21:23:00+03:00","2025-09-29T18:23:00+00:00","https://text.khl.ru/text/897586.html","text"
897590,"Автомобилист","Ак Барс","2025-09-29T23:49:00+03:00","2025-09-29T20:49:00+00:00","https://text.khl.ru/text/897590.html","text"
897592,"ХК Сочи","Лада","2025-09-30T03:09:00+03:00","2025-09-30T00:09:00+00:00","https://text.khl.ru/text/897592.html","text"
897591,"Спартак","Трактор","2025-09-30T18:21:00+03:00","2025-09-30T15:21:00+00:00","https://text.khl.ru/text/897591.html","text"
897596,"Барыс","Локомотив","2025-10-01T03:19:00+03:00","2025-10-01T00:19:00+00:00","https://text.khl.ru/text/897596.html","text"
897598,"Динамо Мн","Северсталь","2025-10-01T13:23:00+03:00","2025-10-01T10:23:00+00:00","https://text.khl.ru/text/897598.html","text"
897595,"Автомобилист","Амур","2025-10-01T17:41:00+03:00","2025-10-01T14:41:00+00:00","https://text.khl.ru/text/897595.html","text"
897593,"Салават Юлаев","Сибирь","2025-10-01T18:16:00+03:00","2025-10-01T15:16:00+00:00","https://text.khl.ru/text/897593.html","text"
897880,"СКА","Торпедо","2025-10-01T19:30:00+03:00","2025-10-01T16:30:00+00:00","https://text.khl.ru/text/897880.html","text"
897594,"Авангард","Адмирал","2025-10-01T22:07:00+03:00","2025-10-01T19:07:00+00:00","https://text.khl.ru/text/897594.html","text"
897600,"Динамо М","Трактор","2025-10-02T19:30:00+03:00","2025-10-02T16:30:00+00:00","https://text.khl.ru/text/897600.html","text"
897599,"Нефтехимик","Лада","2025-10-02T19:54:00+03:00","2025-10-02T16:54:00+00:00","https://text.khl.ru/text/897599.html","text"
897604,"Торпедо","Северсталь","2025-10-03T07:12:00+03:00","2025-10-03T04:12:00+00:00","https://text.khl.ru/text/897604.html","text"
897605,"Авангард","Локомотив","2025-10-03T12:56:00+03:00","2025-10-03T09:56:00+00:00","https://text.khl.ru/text/897605.html","text"
